Caule	Fogo	H	DAS
1328	1	8	2.8
1329	1	3	0.3
1330	1	14	0.2
1331	0	43	1.2
1332	0	50	1.5
1333	0	120	2.2
1334	0	25	1.1
1335	0	99	1.5
1336	0	99	1.7
1337	0	31	1.7
1338	1	31	0.4
1339	1	1	0.2
1340	0	140	1.6
1341	0	140	2.1
1342	0	80	0.9
1343	0	50	0.8
1344	0	135	1.9
1345	0	100	2.4
1346	0	65	1.3
1347	0	135	1
1348	0	115	1.6
1349	0	130	2.6
1350	1	130	1.6
1351	1	70	1
1352	0	30	1.1
1353	1	120	3.2
1354	1	110	1.6
1355	1	73	1.2
1356	0	145	3.1
1357	1	140	2.3
1358	1	130	2.1
1359	1	34	1.3
1360	0	78	1.3
1361	1	70	1.4
1362	1	99	1.4
1363	0	55	1.3
1364	1	85	1.1
